Round,ClientID,Stage,Parameter_Representation
1,1,Original_Weights,-0.3666
1,1,Noisy_Weights,-1.7634
1,0,Original_Weights,-1.6962
1,0,Noisy_Weights,-1.1782
1,2,Original_Weights,0.5567
1,2,Noisy_Weights,2.1699
2,0,Original_Weights,-0.6802
2,0,Noisy_Weights,2.6312
2,2,Original_Weights,1.3746
2,2,Noisy_Weights,-1.7774
2,1,Original_Weights,-1.0658
2,1,Noisy_Weights,3.3836
3,2,Original_Weights,-0.7613
3,1,Original_Weights,-1.0658
3,1,Noisy_Weights,-1.2088
3,0,Original_Weights,-1.6962
3,0,Noisy_Weights,-3.8589
3,2,Noisy_Weights,-3.2379
4,0,Original_Weights,-1.6403
4,2,Original_Weights,-0.7613
4,2,Noisy_Weights,-0.3988
4,1,Original_Weights,-0.9028
4,1,Noisy_Weights,-9.0812
4,0,Noisy_Weights,-2.0290
5,0,Original_Weights,-0.6802
5,1,Original_Weights,-1.0658
5,1,Noisy_Weights,-0.3754
5,2,Original_Weights,1.3746
5,2,Noisy_Weights,-1.6297
5,0,Noisy_Weights,4.5273
6,1,Original_Weights,-1.0658
6,2,Original_Weights,1.3746
6,0,Original_Weights,-0.6802
6,0,Noisy_Weights,-5.4699
6,1,Noisy_Weights,4.1808
6,2,Noisy_Weights,-2.9419
7,0,Original_Weights,-0.6802
7,0,Noisy_Weights,-4.3594
7,1,Original_Weights,-1.0658
7,2,Original_Weights,1.3746
7,2,Noisy_Weights,-0.1358
7,1,Noisy_Weights,-3.2836
8,2,Original_Weights,-0.7613
8,2,Noisy_Weights,4.4864
8,0,Original_Weights,-1.6962
8,1,Original_Weights,-1.0658
8,1,Noisy_Weights,0.1363
8,0,Noisy_Weights,-4.3699
9,2,Original_Weights,-0.7613
9,2,Noisy_Weights,1.0927
9,0,Original_Weights,-1.6403
9,0,Noisy_Weights,-6.3123
9,1,Original_Weights,-0.9028
9,1,Noisy_Weights,-5.2606
10,2,Original_Weights,-0.7613
10,0,Original_Weights,-1.6403
10,0,Noisy_Weights,3.6275
10,2,Noisy_Weights,0.3593
10,1,Original_Weights,-0.9028
10,1,Noisy_Weights,-1.2953
